timestamp_sec,elapsed_sec,elapsed_mmss,stage,target_temp_C,actual_temp_C,pid_on_time_s
1761513406.7384074,34.06683564186096,00:34,Drying,78.93915643294652,75.75,0.5
1761513407.2393053,34.56807351112366,00:34,Drying,79.73278305927913,76.25,0.5
1761513407.7401834,35.06891417503357,00:35,Drying,80.52578077713648,77.0,0.5
1761513408.2410378,35.56980299949646,00:35,Drying,81.31885474920273,78.25,0.5
1761513408.7426887,36.07153248786926,00:36,Drying,82.11325977245966,79.5,0.28321541117937343
1761513409.243627,36.57239627838135,00:36,Drying,82.90629410743713,80.5,0.5
1761513409.7445087,37.073256969451904,00:37,Drying,83.69932353496552,82.25,0
1761513410.2453587,37.57412791252136,00:37,Drying,84.49236919482549,83.75,0
1761513410.7460122,38.07497549057007,00:38,Drying,85.28537786006927,85.0,0
1761513411.247207,38.575748682022095,00:38,Drying,86.07826874653497,85.75,0
1761513411.7481258,39.076863288879395,00:39,Drying,86.87170020739238,85.5,0.5
1761513412.2492416,39.577781677246094,00:39,Drying,87.66482098897299,85.25,0.5
1761513412.750821,40.07896828651428,00:40,Drying,88.45836645364761,85.0,0.5
1761513413.253015,40.58155584335327,00:40,Drying,89.25413008530934,84.75,0.5
1761513413.7545848,41.082741260528564,00:41,Drying,90.04767366250356,85.0,0.5
1761513414.2563689,41.58434343338013,00:41,Drying,90.84187710285187,86.0,0.5
1761513414.7578292,42.08618187904358,00:42,Drying,91.636454641819,87.25,0.5
1761513415.259058,42.58756923675537,00:42,Drying,92.430317958196,88.5,0.5
1761513415.759964,43.08872842788696,00:43,Drying,93.22382001082102,89.75,0.5
1761513416.2608657,43.589627742767334,00:43,Drying,94.01691059271495,91.5,0
1761513416.7617764,44.090532302856445,00:44,Drying,94.8100094795227,93.25,0
1761513417.2626183,44.59138512611389,00:44,Drying,95.60302644968033,94.5,0
1761513417.7634645,45.092225313186646,00:45,Drying,96.39602341254552,95.25,0
1761513418.2643347,45.59307146072388,00:45,Drying,97.1890298128128,95.25,0.5
1761513418.7649753,46.09394121170044,00:46,Drying,97.98207358519235,94.75,0.5
1761513419.2658358,46.59458899497986,00:46,Drying,98.77476590871811,94.25,0.5
1761513419.766676,47.09544587135315,00:47,Drying,99.56778929630914,94.25,0.5
1761513420.2673118,47.59627962112427,00:47,Drying,100.36077606678009,94.0,0.5
1761513420.7683668,48.09692454338074,00:48,Drying,101.15346386035284,94.75,0.5
1761513421.269832,48.59802961349487,00:48,Drying,101.94688022136688,95.5,0.5
1761513421.7707725,49.09954380989075,00:49,Drying,102.74094436566035,96.25,0.5
1761513422.2721639,49.60044598579407,00:49,Drying,103.53403947750728,97.5,0.5
1761513422.773331,50.10184144973755,00:50,Drying,104.32791562875113,99.0,0.5
1761513423.274664,50.60299277305603,00:50,Drying,105.12140522400539,100.5,0.5
1761513423.7754924,51.10433340072632,00:51,Drying,105.91519455115001,102.0,0.5
1761513424.2765443,51.60515213012695,00:51,Drying,106.70815753936768,103.75,0
1761513424.778087,52.10627579689026,00:52,Drying,107.50160334507623,105.5,0
1761513425.2791176,52.607784271240234,00:52,Drying,108.2956584294637,106.25,0.5
1761513425.7806625,53.10879993438721,00:53,Drying,109.08893322944641,106.75,0.5
1761513426.2816808,53.610342025756836,00:53,Drying,109.88304154078165,107.0,0.5
1761513426.7825456,54.1113076210022,00:54,Drying,110.67623706658682,107.5,0.5
1761513427.2833228,54.61215782165527,00:54,Drying,111.4692498842875,108.0,0.5
1761513427.7841978,55.11293649673462,00:55,Drying,112.26214945316315,108.5,0.5
1761513428.2850363,55.613805532455444,00:55,Drying,113.05519209305444,109.25,0.5
1761513428.7858894,56.114641189575195,00:56,Drying,113.84818188349406,110.0,0.5
1761513429.2865586,56.61549353599548,00:56,Drying,114.64119809865952,111.0,0.5
1761513429.787194,57.116161584854126,00:57,Drying,115.43392250935237,112.25,0.5
1761513430.2880824,57.61679983139038,00:57,Drying,116.22659973303477,113.5,0.5
1761513430.7890453,58.117708683013916,00:58,Drying,117.01970541477203,114.75,0
1761513431.2906098,58.61873912811279,00:58,Drying,117.81300361951192,116.0,0
1761513431.792244,59.12033176422119,00:59,Drying,118.60719196001689,116.25,0.5
1761513432.2937946,59.621962785720825,00:59,Drying,119.4014410773913,116.25,0.5
1761513432.7947066,60.123494386672974,01:00,Drying,120.06174719333649,115.75,0.5
1761513433.2965922,60.62437438964844,01:00,Drying,120.31218719482422,115.5,0.5
1761513433.7975404,61.12631034851074,01:01,Drying,120.56315517425537,115.5,0.5
1761513434.298433,61.62717390060425,01:01,Drying,120.81358695030212,115.5,0.5
1761513434.7998567,62.12861895561218,01:02,Drying,121.06430947780609,115.75,0.5
1761513435.3007364,62.62949228286743,01:02,Drying,121.31474614143372,116.25,0.5
1761513435.8015926,63.13035202026367,01:03,Drying,121.56517601013184,116.75,0.5
1761513436.3024476,63.631213426589966,01:03,Drying,121.81560671329498,117.5,0.5
1761513436.8032944,64.13206148147583,01:04,Drying,122.06603074073792,118.25,0.5
1761513437.3046613,64.63353753089905,01:04,Drying,122.31676876544952,119.25,0.5
1761513437.8053174,65.13428378105164,01:05,Drying,122.56714189052582,120.25,0.5
1761513438.3059976,65.63493299484253,01:05,Drying,122.81746649742126,121.25,0
1761513438.8066823,66.13561868667603,01:06,Drying,123.06780934333801,122.5,0
1761513439.3075793,66.6363115310669,01:06,Drying,123.31815576553345,122.75,0.5
1761513439.8084388,67.13722705841064,01:07,Drying,123.56861352920532,122.5,0.5
1761513440.3092754,67.63807249069214,01:07,Drying,123.81903624534607,122.25,0.5
1761513440.8099458,68.13890647888184,01:08,Drying,124.06945323944092,121.75,0.5
1761513441.3106108,68.6395480632782,01:08,Drying,124.3197740316391,121.75,0.5
1761513441.8112826,69.14022016525269,01:09,Drying,124.57011008262634,121.75,0.5
1761513442.3119547,69.64089274406433,01:09,Drying,124.82044637203217,122.0,0.5
1761513442.812651,70.14158844947815,01:10,Drying,125.07079422473907,122.25,0.5
1761513443.3133206,70.64225697517395,01:10,Drying,125.32112848758698,122.5,0.5
1761513443.8140013,71.1429328918457,01:11,Drying,125.57146644592285,123.25,0.5
1761513444.3146884,71.64361643791199,01:11,Drying,125.821808218956,123.75,0.5
1761513444.815366,72.14430665969849,01:12,Drying,126.07215332984924,124.5,0.37102386147372846
1761513445.3161478,72.64506340026855,01:12,Drying,126.32253170013428,125.0,0.5
1761513445.817263,73.1458032131195,01:13,Drying,126.57290160655975,125.5,0.47295252508344676
1761513446.318586,73.64713025093079,01:13,Drying,126.8235651254654,126.25,0
1761513446.8198416,74.14830899238586,01:14,Drying,127.07415449619293,127.0,0
1761513447.3211467,74.6496262550354,01:14,Drying,127.3248131275177,127.0,0.5
1761513447.824975,75.15352940559387,01:15,Drying,127.57676470279694,126.5,0.5
1761513448.3261425,75.65468764305115,01:15,Drying,127.82734382152557,125.5,0.5
